FVC_POS,LVC,LV_POS,nominal_POS,punctive/durative,count/mass syntax,source,identical nominal?,related nominal?,passive?,comments
joke_VERB,make a joke,make_VERB,joke_SUBST,punctive,count,Lin (2001),TRUE,TRUE,FALSE,inspired by source
loan_VERB,make a loan,make_VERB,loan_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
mistake_VERB,make a mistake,make_VERB,mistake_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
decide_VERB,make a decision,make_VERB,decision_SUBST,durative,count,Bonial and Pollard (2020),FALSE,TRUE,FALSE,
move_VERB,make a move,make_VERB,move_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
declare_VERB,make a declaration,make_VERB,declaration_SUBST,durative,count,Bonial (2014),FALSE,TRUE,FALSE,
disclaim_VERB,make a disclaimer,make_VERB,disclaimer_SUBST,durative,count,Mehl (2019),FALSE,TRUE,FALSE,
discover_VERB,make a discovery,make_VERB,discovery_SUBST,punctive,count,Gilquin (2019),FALSE,TRUE,FALSE,
promise_VERB,make a promise,make_VERB,promise_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
modify_VERB,make a modification,make_VERB,modification_SUBST,durative,count,Mehl (2019),FALSE,TRUE,FALSE,
provision_VERB,make a provision,make_VERB,provision_SUBST,durative,count,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
pay_VERB,make a payment,make_VERB,payment_SUBST,punctive,count,Bonial and Pollard (2020),FALSE,TRUE,FALSE,
proclaim_VERB,make a proclamation,make_VERB,proclamation_SUBST,durative,count,Bonial (2014),FALSE,TRUE,FALSE,
speech_VERB,make a speech,make_VERB,speech_SUBST,durative,count,Bonial (2014),TRUE,TRUE,FALSE,
start_VERB,make a start,make_VERB,start_SUBST,punctive,count,Mehl (2019),TRUE,TRUE,FALSE,
propose_VERB,make a proposal,make_VERB,proposal_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
recommend_VERB,make a recommendation,make_VERB,recommendation_SUBST,durative,count,Bonial (2014),FALSE,TRUE,FALSE,idiom or LVC
refer_VERB,make a reference,make_VERB,reference_SUBST,punctive,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
state_VERB,make a statement,make_VERB,statement_SUBST,durative,count,Bonial and Pollard (2020);Mehl (2019),FALSE,TRUE,FALSE,
vow_VERB,make a vow,make_VERB,vow_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
submit_VERB,make a submission,make_VERB,submission_SUBST,punctive,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
suggest_VERB,make a suggestion,make_VERB,suggestion_SUBST,durative,count,Bonial (2014),FALSE,TRUE,FALSE,idiom or LVC
unite_VERB,make a unity,make_VERB,unity_SUBST,durative,count,Mehl (2019),FALSE,TRUE,FALSE,
ambush_VERB,make ambushes,make_VERB,ambushes_SUBST,durative,mass,Mehl (2019),FALSE,TRUE,FALSE,
accuse_VERB,make an accusation,make_VERB,accusation_SUBST,punctive,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
adjust_VERB,make an adjustment,make_VERB,adjustment_SUBST,punctive,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
allege_VERB,make an allegation,make_VERB,allegation_SUBST,durative,count,Gilquin (2019),FALSE,TRUE,FALSE,
allow_VERB,make an allowance,make_VERB,allowance_SUBST,punctive,mass,Bonial (2014),FALSE,TRUE,FALSE,idiom or LVC; make an allowance for
alter_VERB,make an alternation,make_VERB,alternation_SUBST,durative,count,Mehl (2019),FALSE,TRUE,FALSE,
announce_VERB,make an announcement,make_VERB,announcement_SUBST,punctive,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
appear_VERB,make an appearance,make_VERB,appearance_SUBST,punctive,count,Bonial (2014),FALSE,TRUE,FALSE,
apply_VERB,make an application,make_VERB,application_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
attempt_VERB,make an attempt,make_VERB,attempt_SUBST,durative,count,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
appologise_VERB,make an appology,make_VERB,appology_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
assess_VERB,make an assessment,make_VERB,assessment_SUBST,durative,count,Mehl (2019),FALSE,TRUE,FALSE,
impact_VERB,make an impact,make_VERB,impact_SUBST,durative,mass,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
assume_VERB,make an assumption,make_VERB,assumption_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
evaluate_VERB,make an evaluation,make_VERB,evaluation_SUBST,durative,count,Mehl (2019),FALSE,TRUE,FALSE,
improve_VERB,make an improvement,make_VERB,improvement_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
incise_VERB,make an incision,make_VERB,incision_SUBST,punctive,count,Mehl (2019),FALSE,TRUE,FALSE,
offer_VERB,make an offer,make_VERB,offer_SUBST,durative,count,Bonial (2014);Ronan & Schneider (2015),TRUE,TRUE,FALSE,
infer from_VERB,make an inference,make_VERB,inference_SUBST,durative,count,Brugman (2001),FALSE,TRUE,FALSE,make an inference from
