verb,count,min,Q1,median,mean,std,Q3,max
give_VERB_treatment_SUBST,7.0,6.0,17.0,27.0,30.571428571428573,20.362196532276364,44.5,58.0
take_VERB_picture_SUBST,154.0,2.0,8.0,11.5,16.675324675324674,17.335174531503505,22.5,176.0
care_VERB,966.0,1.0,8.0,14.0,20.642857142857142,20.512091359291027,26.0,190.0
allow_VERB,1690.0,1.0,9.0,15.0,20.22662721893491,18.13811562620539,25.0,228.0
attempt_VERB,100.0,2.0,13.75,21.0,23.22,13.8144851514633,30.0,80.0
participate_VERB,51.0,1.0,13.0,18.0,24.215686274509803,17.842997198329876,31.5,85.0
meet_VERB,2623.0,1.0,10.0,18.0,23.922226458253906,22.33081262056974,30.0,210.0
commit_VERB_offence_SUBST,7.0,13.0,20.5,23.0,26.285714285714285,11.54288071661902,29.0,49.0
swim_VERB,274.0,2.0,7.0,13.0,18.474452554744527,23.408329594139133,22.0,321.0
have_VERB_dance_SUBST,17.0,2.0,7.0,13.0,18.941176470588236,15.473649328112996,29.0,57.0
give_VERB_warning_SUBST,12.0,6.0,12.5,17.5,23.666666666666668,21.351318176608856,25.25,87.0
spill_VERB,49.0,1.0,6.0,10.0,15.224489795918368,16.892139821677482,16.0,79.0
lick_VERB,98.0,2.0,5.25,8.0,10.857142857142858,8.698856424426344,13.75,56.0
give_VERB_assistance_SUBST,5.0,6.0,13.0,17.0,26.4,24.99599967994879,27.0,69.0
understand_VERB,2445.0,1.0,10.0,17.0,22.898977505112473,20.654709891183145,29.0,270.0
take_VERB_kick_SUBST,4.0,7.0,15.25,21.0,20.5,10.908712114635714,26.25,33.0
pay_VERB_attention_SUBST,115.0,2.0,11.0,17.0,23.42608695652174,18.708784347112402,30.0,119.0
give_VERB_recognition_SUBST,2.0,10.0,13.75,17.5,17.5,10.606601717798213,21.25,25.0
offer_VERB,842.0,1.0,11.0,20.0,25.31235154394299,20.527202784464077,33.0,182.0
make_VERB_copy_SUBST,4.0,7.0,10.75,20.0,20.5,13.178264933847197,29.75,35.0
make_VERB_allegation_SUBST,3.0,12.0,13.0,14.0,15.666666666666666,4.725815626252608,17.5,21.0
take_VERB_decision_SUBST,45.0,4.0,15.0,24.0,26.644444444444446,16.369533168713644,36.0,75.0
shower_VERB,42.0,4.0,10.0,16.0,26.404761904761905,30.21957007959555,23.0,150.0
